address	type	comment
00400208	EOL	.text
00400230	EOL	.rdata
00400258	EOL	.data
00400280	EOL	.rsrc
00401000	PLATE	Searches the active texture list for an entry whose name matches param_1; sets the list's current index and returns 1 if found, 0 otherwise.
00401060	PLATE	Walks the active texture list comparing each entry's 16-bit id; sets the current index when a match is found.
004010a0	PLATE	Allocates a Tex_Entry for the given bitmap, appends it to the active texture list and updates the list's max width/height.
00401170	PLATE	Finds the texture-list entry whose object id matches and releases it, then frees the backing bitmap.
004011c0	PLATE	Draws this UI element's icon via the renderer vtable, then draws its centered caption text beneath it.
00401270	PLATE	Advances the active texture-list index cyclically to the next non-empty list slot.
004012a0	PLATE	Thin forwarder to FUN_004a5a90 that begins/resets iteration over the active texture list.
004012c0	PLATE	Thin forwarder to FUN_004a5af0 that advances the active texture-list iterator.
004012e0	PLATE	One-time initialization that allocates the five texture lists and populates each with Tex_Entry objects built from the global bitmap table.
004014c0	PLATE	If the animation subsystem is active, clears its flag and iterates the animator list calling the per-entry step/cleanup function FUN_00401e80.
00401510	PLATE	Precomputes a 256-entry lookup table of scaled/biased float values from several global tuning constants.
00401560	PLATE	Builds a 641-entry table of 1/i reciprocals as floats plus a parallel table of their converted (rounded) forms.
004015c0	PLATE	Fills a lookup table that maps scaled integer values to monotonically increasing bucket indices by comparing against a float threshold array.
004016a0	PLATE	Allocates nine power-of-two-sized integer arrays (sizes 1..256) each filled with multiples of its size, used as per-level row-stride/offset lookups.
004016f0	PLATE	Clamps a coordinate to the [param_1, param_3) range and advances a paired accumulator, clamping the result to valid bounds.
00401750	PLATE	Clips a 2D span's start and end coordinates against a clipping rectangle, returning whether any portion remains visible.
00401850	PLATE	Clips and then copies a source texture region into a destination surface with fixed-point UV interpolation per pixel.
004019f0	PLATE	Thin forwarder to FUN_00512000 that retrieves the current frame/time delta.
00401a30	PLATE	Sets an object's field at offset 0x2c to a supplied value or to the larger of it and a source field, used to track a running maximum.
00401a50	PLATE	Clamps a requested mip level for a bitmap against its min/max bounds, invokes a callback to load missing levels, and updates the entry's resident-level field.
00401ae0	PLATE	Initializes an animation-sequence struct, allocating its frame-id and per-frame-duration arrays and filling durations with a default value.
00401b60	PLATE	Iterates every frame of an animation sequence and clamps/loads each frame bitmap's mip level so all frames are resident.
00401c20	PLATE	Preloads the mip level of the first param_2 frames of an animation sequence by clamping and loading each frame bitmap.
00401c80	PLATE	Builds an animation sequence by resolving bitmap ids from a name prefix over a numeric range (trying %03d then %d suffixes), then registers and preloads it.
00401e80	PLATE	Advances an animator's current frame while accumulating per-frame durations until a time budget is met, updating animation statistics counters.
00401f00	PLATE	Computes an animation level-of-detail value from the current frame-time delta via a clamped lookup table, returning a default when animation is disabled.
00401f90	PLATE	Initializes an animator instance for a sequence, sets the initial frame and time budget, computes its LOD, and advances it once.
00402000	PLATE	Advances an animator's frame pointer until its accumulated duration reaches the supplied elapsed time, wrapping and setting a looped flag at sequence end.
00402060	PLATE	Resets an object's embedded animation playback state (sequence pointer, frame index, time budget, and current frame id) to the start of a sequence.
004020c0	PLATE	Advances every registered object animator by the time elapsed since last call, decrementing each frame's remaining budget and updating the object's displayed frame id on wrap.
00402140	PLATE	Builds an animation sequence from an explicit array of bitmap names, resolving each id and registering the resulting sequence.
00402230	PLATE	Clears the per-axis spin/angular-accumulator state array and resets the mode selector to its default value.
004022b0	PLATE	Accumulates an angular-velocity sample for one axis, skipping the update when the delta from the stored value falls within a dead-band window.
00402310	PLATE	Emits a spin/rotation event object for each axis that has a nonzero accumulated value, appends them to a list, and clears the accumulators.
004023c0	PLATE	Computes the z-axis angular acceleration between two orientation states, accumulates it, and flushes spin events when it falls in the active range.
00402480	PLATE	Computes two angular components between orientation states, accumulates both, and flushes spin events when both lie within the active range.
00402580	PLATE	Allocates a text-label widget for the given string and positions it horizontally centered near the top of the screen.
004025e0	PLATE	Per-frame spin-system update that lazily creates its UI labels and dispatches to the appropriate axis-processing routine based on the current mode.
00402710	PLATE	Iterates the chooser widget's item list and invokes the callback of each item flagged as activated, clearing the flag.
00402740	PLATE	Constructor for the chooser_widget class that initializes its fields, vtable, item list, and base widget geometry.
004027f0	PLATE	Recomputes a chooser widget's size from the longest item label width and total item count, then applies it via the renderer resize callback.
00402870	PLATE	Maps a screen x/y coordinate to a chooser item row index, returning -1 if the point lies outside the widget's bounds.
004028a0	PLATE	Draws a chooser widget: optionally tracks the mouse, fills and frames its rectangle, then renders each item label highlighting the row under the cursor.
00402ac0	PLATE	Handles input events for a chooser widget, beginning mouse drag on one event type and invoking the clicked item's callback on a click event.
00402b70	PLATE	Thin forwarder to FUN_004a16b0 that tears down/frees a chooser widget.
00402b80	PLATE	Appends an animator object (adjusted by a fixed offset) to the global animator list via FUN_004dc850.
00402ba0	PLATE	Parses a console/config value string into either the float or integer/bool target global depending on the DAT_005d8fce type flag, after bounds-copying the input via strncpy and sscanf.
00402c70	PLATE	Allocates a chooser item (label, callback, flag), appends it to the widget's item list, and grows the widget height by one row.
00402cb0	PLATE	Constructor for the param_widget class (a view_widget subclass) that initializes its fields, vtables, parameter list, and base geometry.
00402d80	PLATE	Maps a screen x/y coordinate to a param_widget row index, returning -1 when outside the widget bounds or row range.
00402dc0	PLATE	Draws a param_widget: fills/frames its rectangle and renders each parameter as a "name value" line (float or True/False), highlighting the row under the cursor.
00403080	PLATE	Auto-tune table widget event handler that processes input events (cases for selection, value-changed, focus/blur callbacks) and spawns a floating value label for the auto-pilot parameter table.
00403310	PLATE	Destructor helper that calls the slider/list cleanup routine FUN_004a16b0 five times to tear down a row of five auto-tune widgets.
00403360	PLATE	Registers five child widgets (at struct offsets 0xc..0x1c) with the global UI container via FUN_004dc850.
004033c0	PLATE	Frees four slider objects (offsets 0xc..0x18 of the current object) by cleaning each up and freeing its memory, nulling the pointers.
00403490	PLATE	Thunk that forwards its single argument to FeedbackProfile_SaveAtbl to save the feedback profile attribute table.
004034a0	PLATE	Thunk that loads the default feedback profile ATBL by calling FeedbackProfile_LoadAtbl with a zero flag argument.
004034b0	PLATE	Builds a row of four piecewiser sliders ("error", "prime", "use error", "use prime") plus a value-display widget with the "Max Error/Prime/Output/Smoothing" labels for one auto-pilot parameter.
004037d0	PLATE	Reads four (x,y) sample pairs from the bound parameter struct and appends them as colored points into the four slider graph lists.
