address	type	comment
100001d8	EOL	.text
10000200	EOL	.rdata
10000228	EOL	.data
10000250	EOL	.reloc
100014b0	PLATE	Applies a captured Glide render-state preset by index, falling back to the default state for invalid indices.
100014e0	PLATE	Converts the engine palette into Glide table formats for paletted textures and buffer clears.
10001650	PLATE	Builds all cached Glide render states for depth, alpha, fog, texture, chromakey, and Voodoo2 dual-TMU modes.
10001fb0	PLATE	Uploads the renderer palette table to Glide TMU state when paletted texture mode is active.
10002770	PLATE	Creates/selects the Glide window, initializes render states, and records output dimensions for the renderer object.
10002866	EOL	Opens/selects the Glide window and marks the renderer active.
100028a5	EOL	Restores/uploads the Glide palette table after opening the renderer window.
10002aa0	PLATE	Resets renderer state at frame start and clears the Glide buffer, mapping to OpenGL frame setup and glClear.
10002adc	EOL	Restores the paletted texture table before resetting frame state and clearing.
10002b32	EOL	Sets default frame render state and clears the buffer.
10002c10	PLATE	Swaps the front/back buffers, idles Glide, and services texture-cache work after presenting a frame.
10002c67	EOL	Presents the frame and idles Glide after optional overlay drawing.
10002c73	EOL	Runs post-frame texture-cache maintenance after presenting the frame.
10003050	PLATE	Closes the Glide window, releases renderer-owned caches, and clears active flags for clean teardown.
10003140	EOL	Closes the active Glide window before host-window and cache teardown.
10003165	EOL	Frees the renderer texture-cache object during shutdown.
100031b0	PLATE	Clears the current viewport to a palette-derived color, translating directly to OpenGL clear color/depth behavior.
10003300	PLATE	Builds four colored Glide vertices and draws a filled rectangle as two triangles.
10003680	PLATE	Clips and draws a colored anti-aliased Glide line, setting constant color and alpha blend state first.
10003ab0	PLATE	Draws rectangle outlines by dispatching the four edges through the colored-line renderer.
10003b20	PLATE	Approximates an ellipse or arc with line segments using repeated colored-line draws.
10004050	PLATE	Switches cached Glide render-state blocks, preserving or clearing palette-table state when entering or leaving paletted mode.
1000406c	EOL	Checks whether the previous cached state was the special paletted-texture state.
10004071	EOL	Loads the renderer object and tests whether palette-table emulation is enabled.
10004083	EOL	Rebuilds and downloads the real palette table before leaving the special paletted state.
100040db	EOL	Selects the state snapshot to apply after any palette restoration.
100040df	EOL	Checks the upper bound for valid cached state indices.
100040e4	EOL	Computes the address of the requested cached Glide state snapshot.
100040f6	EOL	Falls back to the default Glide state snapshot for out-of-range indices.
100040fb	EOL	Applies the selected cached Glide state and records it as the current state.
1000410b	EOL	Uploads an all-white placeholder palette table when entering the special paletted state.
10004131	EOL	Common return path, also used when the requested state is already current.
10004160	PLATE	Draws a clipped palette-colored point through Glide point primitives.
100043e0	PLATE	Loads a texture through the cache, binds it with grTexSource, builds four Glide vertices, and draws a textured quad.
10004530	EOL	Aborts the quad draw when texture-cache upload or bind preparation fails.
1000489a	EOL	Common exit for drawn quads and clipped or degenerate no-op quads.
10004990	PLATE	Builds projected Glide vertices for a textured triangle, binds the texture, and submits it with grDrawTriangle.
10004a63	EOL	Rejects a textured triangle when projection or mip analysis fails.
10004b8a	EOL	Joins explicit and computed mip-level paths before building triangle vertices.
10004d12	EOL	Skips the textured triangle draw when texture upload/cache preparation fails.
10004e10	PLATE	Draws a triangle using two texture sources/TMUs, relevant for Voodoo2 enhanced multitexture behavior.
10004fd9	EOL	Aborts multitexture drawing when the first texture cannot be uploaded.
10005001	EOL	Aborts multitexture drawing when the second/TMU1 texture cannot be uploaded.
1000500a	EOL	Binds both texture sources and submits the multitextured triangle.
100053d0	PLATE	Draws a clipped string by advancing over glyph codes and dispatching each visible glyph to the single-glyph draw helper.
100065a0	PLATE	Binds a cached texture to a Glide TMU with computed mip/format info, mapping to OpenGL texture binding.
10006740	PLATE	Projects hierarchical point data into screen space and draws visible points with Glide point primitives.
10007080	PLATE	Reads the Glide front/back buffer and expands RGB565 pixels, mapping to OpenGL framebuffer readback.
1000713f	EOL	Expands raw RGB565 framebuffer pixels into wider RGB components during readback.
100071f5	EOL	Runs the per-pixel readback callback and interpolation writes for indexed output.
10007450	PLATE	Detects available 3dfx Glide hardware, fills the winsys display/mode names, initializes Glide for probing, and returns a renderer priority score.
10007450	PRE	0x7450  2  detect_winsys
10007580	PLATE	Runs one-time Glide process shutdown and logs the renderer exit path.
10007580	PRE	0x7580  4  process_exit
10007600	PLATE	Destroys a Glide winsys instance through the host allocator after local cleanup.
10007600	PRE	0x7600  1  ?deallocate_winsys@@YAXPAVWinsys@@@Z
10007630	PLATE	Creates the Glide winsys renderer object, captures the host game interface, fills its virtual dispatch table, and runs renderer initialization.
10007630	PRE	0x7630  3  instantiate_winsys
100076b9	EOL	Populates the renderer object dispatch table that defines the winsys rendering contract.
10008160	PLATE	Converts an engine texture into Glide mipmap memory and uploads it, the key texture upload behavior to replace.
100081bf	EOL	Joins caller-provided and computed mip-level selection before cache lookup.
100081e9	EOL	Evicts or reclaims a texture-cache slot and retries the cache lookup.
100082d3	EOL	Downloads converted mipmap data into Glide texture memory and frees staging data.
100087b0	PLATE	Initializes renderer object defaults, dimensions, palette ramp, counters, and mode flags before vtable use.
10008880	PLATE	Checks that every winsys vtable slot in the constructed Glide renderer object has a non-null handler.
10008e90	PLATE	Library Function - Single Match\n __ftol\n\nLibrary: Visual Studio
10009314	PLATE	Library Function - Single Match\n __global_unwind2\n\nLibrary: Visual Studio
10009356	PLATE	Library Function - Single Match\n __local_unwind2\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release, Visual Studio 2003 Debug, Visual Studio 2003 Release
100093be	PLATE	Library Function - Single Match\n __abnormal_termination\n\nLibrary: Visual Studio
100093e1	PLATE	Library Function - Single Match\n __NLG_Notify1\n\nLibraries: Visual Studio 2017 Debug, Visual Studio 2017 Release, Visual Studio 2019 Debug, Visual Studio 2019 Release
10009402	PLATE	Library Function - Single Match\n _rand\n\nLibraries: Visual Studio 2003 Release, Visual Studio 2005 Release, Visual Studio 2008 Release
10009462	PLATE	Library Function - Single Match\n __exit\n\nLibrary: Visual Studio 2003 Release
100096c9	PLATE	Library Function - Single Match\n __amsg_exit\n\nLibrary: Visual Studio 2003 Release
1000992b	PLATE	Library Function - Single Match\n _malloc\n\nLibrary: Visual Studio 2003 Release
1000993d	PLATE	Library Function - Single Match\n __nh_malloc\n\nLibrary: Visual Studio 2003 Release
10009c87	PLATE	Library Function - Single Match\n __fassign\n\nLibrary: Visual Studio 2003 Release
10009f77	PLATE	Library Function - Single Match\n __cfltcvt\n\nLibrary: Visual Studio 2003 Release
1000a990	PLATE	Library Function - Single Match\n __CallSettingFrame@12\n\nLibraries: Visual Studio 2017 Debug, Visual Studio 2017 Release, Visual Studio 2019 Debug, Visual Studio 2019 Release
1000b8b7	PLATE	Library Function - Single Match\n __startOneArgErrorHandling\n\nLibrary: Visual Studio
1000b9ab	PLATE	Library Function - Single Match\n __math_exit\n\nLibrary: Visual Studio
1000d590	PLATE	Library Function - Single Match\n _memset\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
1000d930	PLATE	Library Function - Single Match\n _strlen\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
1000da80	PLATE	Library Function - Single Match\n _strcmp\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
1000e7c0	PLATE	Library Function - Single Match\n _strchr\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
1000e880	PLATE	Library Function - Single Match\n _strstr\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
1000e900	PLATE	Library Function - Single Match\n _strncmp\n\nLibraries: Visual Studio 1998 Debug, Visual Studio 1998 Release
